pair,tier,time,vol_z,pnl,hours_held
PENGUUSDT,mid,2026-01-04 08:00:00+00:00,3.11,0.08014090946878383,36
PENGUUSDT,mid,2026-02-06 00:00:00+00:00,3.22,0.10999999999999999,16
PENGUUSDT,mid,2026-03-18 05:00:00+00:00,3.34,-0.05500000000000004,7
PENGUUSDT,mid,2026-04-27 06:00:00+00:00,3.4,0.029730660186310435,36
PUMPUSDT,mid,2025-09-25 15:00:00+00:00,3.56,-0.05500000000000004,2
PUMPUSDT,mid,2025-09-26 05:00:00+00:00,4.8,-7.097791798115882e-05,36
PUMPUSDT,mid,2026-01-13 22:00:00+00:00,3.25,0.05203296703296701,36
PUMPUSDT,mid,2026-04-28 21:00:00+00:00,8.34,-0.05500000000000015,20
SEIUSDT,mid,2025-02-03 14:00:00+00:00,3.01,0.05790406222990508,36
SEIUSDT,mid,2025-02-22 04:00:00+00:00,3.02,-0.03181444404719346,36
SEIUSDT,mid,2025-02-24 16:00:00+00:00,3.17,-0.05500000000000004,6
SEIUSDT,mid,2025-04-02 20:00:00+00:00,3.04,-0.05500000000000004,2
SEIUSDT,mid,2025-05-09 08:00:00+00:00,3.05,0.10393617021276624,36
SEIUSDT,mid,2025-06-17 16:00:00+00:00,4.21,0.09550368550368538,36
SEIUSDT,mid,2025-06-24 08:00:00+00:00,3.5,-0.05499999999999993,6
SEIUSDT,mid,2025-08-24 19:00:00+00:00,4.34,-0.05500000000000015,11
SEIUSDT,mid,2025-09-17 18:00:00+00:00,4.12,0.07274193548387109,36
SEIUSDT,mid,2025-10-11 01:00:00+00:00,3.21,0.02995677233429406,36
SEIUSDT,mid,2025-10-16 09:00:00+00:00,3.07,-0.05500000000000004,10
SEIUSDT,mid,2025-10-30 12:00:00+00:00,3.02,-0.05500000000000004,5
SEIUSDT,mid,2025-12-10 20:00:00+00:00,3.44,-0.05500000000000004,6
SEIUSDT,mid,2025-12-30 06:00:00+00:00,3.46,-0.022793594306049877,36
SEIUSDT,mid,2026-01-14 10:00:00+00:00,3.28,-0.05500000000000004,33
SEIUSDT,mid,2026-02-06 00:00:00+00:00,3.65,0.06948275862068976,36
SEIUSDT,mid,2026-02-07 16:00:00+00:00,3.24,-0.012741935483871033,36
SEIUSDT,mid,2026-03-10 00:00:00+00:00,3.08,-0.05500000000000004,26
SEIUSDT,mid,2026-03-11 10:00:00+00:00,3.28,0.036600000000000084,36
SEIUSDT,mid,2026-04-22 06:00:00+00:00,3.19,-0.013018327605956444,36
SEIUSDT,mid,2026-05-10 22:00:00+00:00,3.27,-0.05500000000000004,33
SYNUSDT,micro,2025-02-12 00:00:00+00:00,3.02,0.10999999999999999,11
SYNUSDT,micro,2025-02-12 15:00:00+00:00,4.44,-0.05500000000000015,1
SYNUSDT,micro,2025-04-18 13:00:00+00:00,6.41,0.03170886075949365,36
SYNUSDT,micro,2025-04-21 09:00:00+00:00,3.86,0.10999999999999999,4
SYNUSDT,micro,2025-04-21 23:00:00+00:00,3.3,0.10999999999999999,11
SYNUSDT,micro,2025-04-22 11:00:00+00:00,3.33,-0.05500000000000015,29
SYNUSDT,micro,2025-04-24 04:00:00+00:00,3.23,-0.05500000000000004,3
SYNUSDT,micro,2025-04-24 17:00:00+00:00,3.03,0.10999999999999999,5
SYNUSDT,micro,2025-07-06 18:00:00+00:00,4.39,-0.05500000000000015,16
